"Year","Month","MeanRedd","Date"
1976,10,2.98101265822785,1976-10-01
1976,11,2.07838114754098,1976-11-01
1976,12,2.28286637931034,1976-12-01
1977,1,2.3515625,1977-01-01
1977,8,2.41517857142857,1977-08-01
1977,9,2.490625,1977-09-01
1977,10,2.6265625,1977-10-01
1977,11,3.1421493902439,1977-11-01
1977,12,3.56150793650794,1977-12-01
1978,1,2.03125,1978-01-01
1978,8,0.885416666666667,1978-08-01
1978,9,1.44931891025641,1978-09-01
1978,10,5.92760180995475,1978-10-01
1978,11,11.2179487179487,1978-11-01
1978,12,17.262443438914,1978-12-01
1979,1,13.6890625,1979-01-01
1979,7,10.803125,1979-07-01
1979,8,10.3875,1979-08-01
1979,9,9.77459490740741,1979-09-01
1979,10,9.26519097222222,1979-10-01
1979,11,8.76953125,1979-11-01
1979,12,8.24609375,1979-12-01
1980,1,8.01953125,1980-01-01
1980,7,7.9375,1980-07-01
1980,8,7.828125,1980-08-01
1980,9,7.62152777777778,1980-09-01
1980,10,7.27481617647059,1980-10-01
1980,11,6.89539930555556,1980-11-01
1980,12,6.594921875,1980-12-01
1981,1,6.37109375,1981-01-01
1981,6,6.21484375,1981-06-01
1981,7,6.078125,1981-07-01
1981,8,5.8115234375,1981-08-01
1981,9,5.40084134615385,1981-09-01
1981,10,4.86970766129032,1981-10-01
1981,11,4.24951171875,1981-11-01
1981,12,6.94117647058824,1981-12-01
1982,1,10.3235294117647,1982-01-01
1982,9,11.9411764705882,1982-09-01
1982,10,16.8792569659443,1982-10-01
1982,11,23.7832817337461,1982-11-01
1982,12,28.5751633986928,1982-12-01
1983,1,30.4705882352941,1983-01-01
1983,5,31.0588235294118,1983-05-01
1983,8,31.9411764705882,1983-08-01
1983,9,233.571870286576,1983-09-01
1983,10,218.85,1983-10-01
1983,11,48.7674825174825,1983-11-01
1983,12,10.7692307692308,1983-12-01
1984,1,8.61538461538461,1984-01-01
1984,7,7.26923076923077,1984-07-01
1984,8,5.38461538461538,1984-08-01
1984,9,1.44827586206897,1984-09-01
1984,10,0,1984-10-01
1984,11,0,1984-11-01
1984,12,0,1984-12-01
1985,1,0,1985-01-01
1985,8,0,1985-08-01
1985,9,0.806451612903226,1985-09-01
1985,10,6.50537634408602,1985-10-01
1985,11,11.8064516129032,1985-11-01
1985,12,13.9410939691445,1985-12-01
1986,1,12.3333333333333,1986-01-01
1986,2,11.5,1986-02-01
1986,7,11,1986-07-01
1986,8,7.80213903743316,1986-08-01
1986,9,6.25511363636364,1986-09-01
1986,10,6.65615030131159,1986-10-01
1986,11,7.72649572649573,1986-11-01
1986,12,6.16387959866221,1986-12-01
1987,1,5.30769230769231,1987-01-01
1987,8,2.33379120879121,1987-08-01
1987,9,0.657887026836986,1987-09-01
1987,10,0.416204217536071,1987-10-01
1987,11,0.829078801331854,1987-11-01
1987,12,1.15094339622642,1987-12-01
1988,1,1.36719883889695,1988-01-01
1988,2,1.50943396226415,1988-02-01
1988,8,1.66201804757998,1988-08-01
1988,9,1.95058400718778,1988-09-01
1988,10,2,1988-10-01
1988,11,2,1988-11-01
1988,12,2,1988-12-01
1989,1,2,1989-01-01
1989,8,2.06026785714286,1989-08-01
1989,9,2.00455974842767,1989-09-01
1989,10,0.379259259259259,1989-10-01
1989,11,0,1989-11-01
1989,12,0,1989-12-01
1990,1,0,1990-01-01
1990,8,0,1990-08-01
1990,9,0.00264550264550265,1990-09-01
1990,10,0.377380952380952,1990-10-01
1990,11,1,1990-11-01
1990,12,1.38571428571429,1990-12-01
1991,8,1.64285714285714,1991-08-01
1991,9,2.83187560738581,1991-09-01
1991,10,4,1991-10-01
1991,11,4,1991-11-01
1991,12,4,1991-12-01
1992,1,4,1992-01-01
1992,2,4,1992-02-01
1992,8,4,1992-08-01
1992,9,4,1992-09-01
1992,10,3.64285714285714,1992-10-01
1992,11,3,1992-11-01
1992,12,3,1992-12-01
1993,1,3,1993-01-01
1993,2,3,1993-02-01
1993,8,3.2463768115942,1993-08-01
1993,9,5.40658049353702,1993-09-01
1993,10,7.13960113960114,1993-10-01
1993,11,7.38894907908992,1993-11-01
1993,12,7.62716346153846,1993-12-01
1994,1,7.81802884615385,1994-01-01
1994,8,7.94615384615385,1994-08-01
1994,9,46.5057905982906,1994-09-01
1994,10,116.829166666667,1994-10-01
1994,11,61.2696759259259,1994-11-01
1994,12,18.1289482526882,1994-12-01
1995,1,5.60896931549961,1995-01-01
1995,2,5.90322580645161,1995-02-01
1995,8,6.25403225806452,1995-08-01
1995,9,5.78030039255846,1995-09-01
1995,10,2.83030990173847,1995-10-01
1995,11,2.59990253411306,1995-11-01
1995,12,2.38446054750403,1995-12-01
1996,1,2.1929012345679,1996-01-01
1996,2,2.08641975308642,1996-02-01
1996,8,7.27888888888889,1996-08-01
1996,9,55.9393650793651,1996-09-01
1996,10,131.775,1996-10-01
1996,11,72,1996-11-01
1996,12,0.557291666666667,1996-12-01
1997,1,0.866666666666667,1997-01-01
1997,8,4.91608391608392,1997-08-01
1997,9,5.40165153994941,1997-09-01
1997,10,6.10218253968254,1997-10-01
1997,11,3,1997-11-01
1997,12,3,1997-12-01
1998,8,4.98387096774194,1998-08-01
1998,9,5.0749063670412,1998-09-01
1998,10,5.54047072330654,1998-10-01
1998,11,5.8946638946639,1998-11-01
1998,12,5.04843304843305,1998-12-01
1999,8,4.43589743589744,1999-08-01
1999,9,2.83987441130298,1999-09-01
1999,10,2.1969696969697,1999-10-01
1999,11,2.52762923351159,1999-11-01
1999,12,2.74891774891775,1999-12-01
2000,1,2.89256198347107,2000-01-01
2000,8,4.01388888888889,2000-08-01
2000,9,2.6243961352657,2000-09-01
2000,10,3.07547169811321,2000-10-01
2000,11,1.6498673740053,2000-11-01
2000,12,0.989389920424403,2000-12-01
2001,1,0.49112426035503,2001-01-01
2001,2,0.192307692307692,2001-02-01
2001,8,1.671875,2001-08-01
2001,9,0.0701754385964912,2001-09-01
2001,10,0.760761904761905,2001-10-01
2001,11,2.05714285714286,2001-11-01
2001,12,2.68571428571429,2001-12-01
2002,1,2.91428571428571,2002-01-01
2002,8,2.28571428571429,2002-08-01
2002,9,2.22513661202186,2002-09-01
2002,10,3.40094339622642,2002-10-01
2002,11,8.55555555555556,2002-11-01
2002,12,17.7436974789916,2002-12-01
2003,1,14.5357142857143,2003-01-01
2003,8,8.89795918367347,2003-08-01
2003,9,1.75438596491228,2003-09-01
2003,10,3.9037037037037,2003-10-01
2003,11,13.5538461538462,2003-11-01
2003,12,20.8,2003-12-01
2004,8,3.16524216524216,2004-08-01
2004,9,0.913050624589086,2004-09-01
2004,10,0,2004-10-01
2004,11,0,2004-11-01
2004,12,0,2004-12-01
2005,1,0,2005-01-01
2005,2,0,2005-02-01
2005,8,0,2005-08-01
2005,9,2.0975,2005-09-01
2005,10,0.532757092198582,2005-10-01
2005,11,0.415736607142857,2005-11-01
2005,12,0.745833333333333,2005-12-01
2006,1,0.921875,2006-01-01
2006,2,0.96875,2006-02-01
2006,8,0.6875,2006-08-01
2006,9,0.71875,2006-09-01
2006,10,1.62315789473684,2006-10-01
2006,11,1,2006-11-01
2006,12,0.888888888888889,2006-12-01
2007,7,0.777777777777778,2007-07-01
2007,8,0.402777777777778,2007-08-01
2007,9,0.333515482695811,2007-09-01
2007,10,0.907852564102564,2007-10-01
2007,11,3.73663101604278,2007-11-01
2008,8,4.6875,2008-08-01
2008,9,7.68059701492537,2008-09-01
2008,10,9.7781007751938,2008-10-01
2008,11,2.39583333333333,2008-11-01
2008,12,0.71875,2008-12-01
2009,5,0,2009-05-01
2009,8,0.664772727272727,2009-08-01
2009,9,0.283662613981763,2009-09-01
2009,10,0.355357142857143,2009-10-01
2009,11,0.770285714285714,2009-11-01
2010,7,0.914285714285714,2010-07-01
2010,8,0.789285714285714,2010-08-01
2010,9,11.9837209302326,2010-09-01
2010,10,5.84497126436782,2010-10-01
2010,11,0.411111111111111,2010-11-01
2010,12,0.7175,2010-12-01
2011,8,0.833333333333333,2011-08-01
2011,9,0.257857142857143,2011-09-01
2011,10,0,2011-10-01
2011,11,0,2011-11-01
2011,12,0,2011-12-01
2012,1,0,2012-01-01
2012,8,5.051875,2012-08-01
2012,9,1.36296695402299,2012-09-01
2012,10,1.20218120805369,2012-10-01
2012,11,0.09765625,2012-11-01
2012,12,0.857142857142857,2012-12-01
2013,6,0,2013-06-01
2013,8,0,2013-08-01
2013,9,0.370833333333333,2013-09-01
2013,10,0.10609243697479,2013-10-01
2013,11,0.124098124098124,2013-11-01
2013,12,0.787878787878788,2013-12-01
2014,7,1.2987012987013,2014-07-01
2014,8,1.17234848484848,2014-08-01
2014,9,0.481364275668073,2014-09-01
2014,10,0.10762331838565,2014-10-01
2014,11,0,2014-11-01
2014,12,0,2014-12-01
2015,1,0,2015-01-01
2015,5,0,2015-05-01
2015,8,0,2015-08-01
2015,9,0.0427536231884058,2015-09-01
2015,10,0.0396226415094339,2015-10-01
2015,11,0,2015-11-01
2015,12,0,2015-12-01
2016,7,0.454545454545455,2016-07-01
2016,8,2.25649350649351,2016-08-01
2016,9,1.07584830339321,2016-09-01
2016,10,0.662035995500562,2016-10-01
2016,11,0.159138655462185,2016-11-01
2016,12,0,2016-12-01
2017,8,0.671875,2017-08-01
2017,9,2.96415094339623,2017-09-01
2017,10,1.15,2017-10-01
2017,11,0.547619047619048,2017-11-01
2018,8,0.222222222222222,2018-08-01
2018,9,1.22641509433962,2018-09-01
2018,10,0.993509350935094,2018-10-01
2018,11,0.0444444444444445,2018-11-01
2019,8,0,2019-08-01
2019,9,0,2019-09-01
2019,10,0,2019-10-01
2019,11,0,2019-11-01
2019,12,0,2019-12-01
2020,2,0,2020-02-01
2020,8,0,2020-08-01
2020,9,0,2020-09-01
2020,10,0.200804828973843,2020-10-01
2020,11,0.921428571428571,2020-11-01
2021,7,0.714285714285714,2021-07-01
2021,8,0.344387755102041,2021-08-01
2021,9,0.00856307435254803,2021-09-01
2021,10,0,2021-10-01
2021,11,0.0547667342799189,2021-11-01
2021,12,0.137931034482759,2021-12-01
2022,7,0.258620689655172,2022-07-01
2022,8,0.509578544061303,2022-08-01
2022,9,3.07637292464879,2022-09-01
